Max,Min,Mean,Std,RMS,Skewness,Kurtosis,Crest Factor,Form Factor,Fault
0.415,-0.784,-0.090846240234375,0.0934960635261977,0.1303623405886454,0.004203957599187,0.6137621541222855,3.1834347107154226,-1.434977829047438,Normal
0.493,-0.576,-0.0919236083984375,0.0930693331775388,0.130811463897145,-0.0148970819069142,0.5737145490431037,3.7687828368593,-1.4230453544659645,Normal
0.386,-0.62,-0.0941881103515624,0.0929422089036886,0.1323232535596717,0.0355451234530583,0.5808405839373143,2.9170987684786,-1.4048827719949757,Normal
0.352,-0.684,-0.092957421875,0.0944687531127326,0.1325338059394541,-0.0155580644363439,0.4886837281880147,2.6559261428046925,-1.4257474364733622,Normal
0.471,-0.623,-0.0935968994140624,0.0935014136445528,0.1322976964771649,1.346773499471096e-06,0.4091272145732127,3.560152690045485,-1.4134837511218654,Normal
0.464,-0.559,-0.0930177490234374,0.0949287638403885,0.1329042957584693,0.0253223918722537,0.4664708565434723,3.4912340293592927,-1.4288057618442445,Normal
0.388,-0.596,-0.0930478271484375,0.0936587161396569,0.1320213584497374,0.0149511803815253,0.3507446794278861,2.938918403477249,-1.4188548244025752,Normal
0.623,-0.605,-0.0931722900390625,0.0937566674011759,0.1321785674988751,0.0051240538354613,0.7554654386973603,4.713320864256619,-1.4186467612147264,Normal
0.347,-0.693,-0.0936595458984375,0.0923487939701263,0.131530232552046,0.017796038252652,0.4811111068849025,2.6381767390450968,-1.4043441198687288,Normal
0.466,-0.657,-0.0930468505859375,0.0937962353212359,0.1321182628404436,0.03392030687039,0.6192978423879962,3.5271429549658704,-1.4199111738706305,Normal
0.391,-0.664,-0.0939593994140625,0.0920552724449943,0.1315383405482207,-0.0066623541426939,0.3700094762090011,2.972517354030805,-1.399948715812395,Normal
0.378,-0.64,-0.093692333984375,0.0938997096240916,0.1326468757730228,0.017571783467224,0.493959860791973,2.849671338259111,-1.415770854797408,Normal
0.427,-0.784,-0.0929434814453124,0.0923702421311993,0.1310364226747006,-0.0172736500716825,0.6252872304387709,3.258635967650247,-1.4098505956203276,Normal
0.43,-0.652,-0.0943854248046875,0.0936037332892284,0.1329287530730454,0.006737536165133,0.6103710737297137,3.2348155689364773,-1.4083610191734153,Normal
0.376,-0.576,-0.09282919921875,0.0937639959298404,0.1319421559605998,0.0051396021230504,0.455109322455947,2.849733637157483,-1.4213432526729115,Normal
0.483,-0.708,-0.0917309814453124,0.0937008522910803,0.1311266880737682,0.0296526230327121,0.5747743996957881,3.683460682910542,-1.429470022098721,Normal
0.405,-0.649,-0.0933629638671875,0.0935360195758007,0.1321567871198295,0.0472314994197786,0.5110435604894858,3.0645418129965387,-1.4155161923504034,Normal
0.366,-0.54,-0.0935790527343749,0.0935745509606962,0.1323367746464607,0.0159509498081375,0.442526171043168,2.7656711520873425,-1.414170915173718,Normal
0.361,-0.598,-0.0929068115234374,0.0943692693907114,0.1324274035534717,-0.0094818039963118,0.4173645882464578,2.7260218830329537,-1.425378843402289,Normal
0.393,-0.566,-0.0928848876953125,0.0943920936134948,0.1324282906816045,0.0176881883049131,0.3867537183180314,2.9676438318220404,-1.4257248295977394,Normal
0.437,-0.74,-0.0924889892578125,0.0938766048583138,0.1317832118177129,0.0382630068683338,0.5025740983385298,3.316052128130505,-1.4248529784487969,Normal
0.349,-0.603,-0.0927368896484374,0.093730962253601,0.1318537428254136,-0.0063762009703863,0.4781511403447371,2.646872151836507,-1.4218046704527922,Normal
0.596,-0.608,-0.093001611328125,0.0940074214896904,0.1322364520396962,-0.0014484844146588,0.5267999016041971,4.507077971368182,-1.4218726982390042,Normal
0.435,-0.713,-0.0925982177734375,0.0948807667196331,0.1325766572362771,0.0171862382252221,0.5075520885377767,3.2811205914231665,-1.4317409170947104,Normal
0.43,-0.605,-0.0918515869140625,0.095718057858389,0.1326591004736447,0.0082672730916346,0.458548606328844,3.241390891877997,-1.4442766307103896,Normal
0.471,-0.591,-0.09229453125,0.0948487260658999,0.1323417609797404,0.0211126981940741,0.4768073451143486,3.558967301879133,-1.4339068543645748,Normal
0.388,-0.598,-0.0928013916015625,0.0950096032545173,0.1328107774704473,-0.0143325690987829,0.575422712119741,2.9214496548394697,-1.4311291585008,Normal
0.408,-0.562,-0.092916259765625,0.0953218603277807,0.1331144866373843,0.0287589134666376,0.5167012965530504,3.065030788958591,-1.4326285514844943,Normal
0.5,-0.62,-0.0931487548828124,0.0947653966295807,0.132879462990224,0.01753230177292,0.506654294460128,3.7628087045835295,-1.4265296745769225,Normal
0.422,-0.627,-0.093323876953125,0.0941660443757997,0.1325759157520701,0.0110681101440103,0.4420903466164376,3.183081916546449,-1.4206001730796158,Normal
0.432,-0.603,-0.0929107421875,0.0942716519209415,0.1323606187596503,0.0226966429053964,0.4735326642038351,3.263810671544652,-1.4245997356531483,Normal
0.435,-0.657,-0.0929923583984375,0.0940556703133738,0.1322642501220627,0.0121318345430017,0.4924873983323374,3.288870572347037,-1.422313106151796,Normal
0.435,-0.742,-0.0924777587890625,0.0951268467060629,0.1326688807112643,-0.0160667495466277,0.6495555208915897,3.278839752531854,-1.4346031137484196,Normal
0.459,-0.608,-0.0932682373046875,0.0938825185545066,0.1323354683986461,-0.0058541865906403,0.4600103492246208,3.468457893822636,-1.4188696197434745,Normal
0.474,-0.747,-0.092501318359375,0.0940055562392089,0.1318837471180821,0.0056614574817051,0.5357153894434705,3.5940744053594704,-1.4257499185655202,Normal
0.503,-0.662,-0.0928542480468749,0.093046583953106,0.1314510053094878,0.0203016934447394,0.4864807727780702,3.826520754373376,-1.4156703443780871,Normal
0.344,-0.674,-0.09216982421875,0.0942810860365244,0.1318483320562517,0.0120693696882337,0.5116983089688851,2.609058413065368,-1.4304934741258843,Normal
0.388,-0.552,-0.0925222412109375,0.0938249043018903,0.1317697342571917,-0.0085257470875501,0.4703284796708709,2.9445304886377857,-1.4241952262783562,Normal
0.508,-0.662,-0.092235888671875,0.0938032307069334,0.1315533748319954,0.0097923348147426,0.5336930755669966,3.861550497269705,-1.4262710179981095,Normal
0.415,-0.557,-0.0925892333984375,0.0938939626331156,0.1318659437611676,0.0144686434746606,0.4348864855092227,3.147135554208277,-1.4242038617353212,Normal
0.493,-0.542,-0.0931439453125,0.093148848142697,0.1317280935298161,0.0043447539882181,0.3984854258752208,3.742557770248237,-1.4142421505538068,Normal
0.413,-0.688,-0.0923885498046875,0.0964298309823025,0.1335444847941887,-0.0137465217778478,0.631952721091614,3.092602443571461,-1.445465753889484,Normal
0.332,-0.557,-0.0915486083984375,0.0939352670766351,0.1311669420044726,-0.0104518650959791,0.4425288702515666,2.531125563548468,-1.4327573547989758,Normal
0.457,-0.691,-0.0935099609375,0.0946133888533986,0.1330247630994178,-0.0032078248558838,0.5072503376384572,3.435450583425996,-1.422573186490033,Normal
0.374,-0.825,-0.0932654541015624,0.0962118498659552,0.1339960409462078,-0.0375896743497634,0.6223157691265833,2.791127240469297,-1.4367167590294614,Normal
0.464,-0.574,-0.0929294921874999,0.093954793749304,0.1321483192155101,-0.0025710331938261,0.5172416156593767,3.5112062170332967,-1.4220277772408354,Normal
0.386,-0.72,-0.09330224609375,0.0945207011619784,0.1328128531245305,-0.0046748166734617,0.5228801007499637,2.9063452137277044,-1.4234689804903555,Normal
0.388,-0.608,-0.093307666015625,0.0950973234897143,0.1332276273285453,0.0269087006340993,0.5531914618292006,2.9123088640104244,-1.4278315278643392,Normal
0.442,-0.706,-0.09287783203125,0.0928510783661965,0.1313293720196595,-0.0078361717985289,0.4527663801732351,3.365583747204961,-1.414001265398529,Normal
0.427,-0.654,-0.092446533203125,0.0930126957938548,0.1311392842180953,0.002699999030989,0.5646124600579334,3.256079995753708,-1.4185419363423173,Normal
0.422,-0.591,-0.0929416748046875,0.0940695811738673,0.1322385154770951,0.0120031728448481,0.5735503088205909,3.19120339847655,-1.4228118414585074,Normal
0.413,-0.601,-0.0931123779296874,0.0942638010800393,0.1324966497033687,0.006965865376956,0.5367838794464452,3.1170599477391887,-1.4229756843222463,Normal
0.417,-0.579,-0.0927416259765624,0.094411580784809,0.132341747605129,0.0113357268395043,0.4954420455454404,3.150933152584715,-1.4269940408266537,Normal
0.471,-0.808,-0.0912762939453124,0.094025612186261,0.1310418320352858,-0.0164783271001065,0.5354381503495436,3.5942720937629526,-1.4356611817938023,Normal
0.422,-0.623,-0.0924817382812499,0.0937098856734044,0.1316594098244121,-0.0059404719905089,0.5009146126596109,3.205239948764781,-1.4236260290006368,Normal
0.391,-0.708,-0.0914880371093749,0.0954029997950093,0.132180070713213,0.0151874799101756,0.6320466736832868,2.958085873991855,-1.4447798301234758,Normal
0.413,-0.684,-0.0932698486328124,0.0938851409800543,0.1323384644199828,0.0122076294582154,0.5141435155053373,3.1207857958010115,-1.4188772294568297,Normal
0.342,-0.527,-0.0933156494140625,0.0932548987126558,0.1319245020576695,0.0253351015151863,0.3669523289105356,2.5923918200615828,-1.4137446707603236,Normal
0.51,-0.715,-0.0931209228515625,0.0933636182134993,0.1318637883082091,0.0077909498774593,0.7693556790859177,3.867627394474379,-1.4160489852361524,Normal
0.356,-0.535,-0.092897900390625,0.0927704670417859,0.13128659236928,0.028144585494888,0.4443745794583158,2.711624954044439,-1.413235302598175,Normal
0.42,-0.547,-0.0924293701171875,0.0930527029652162,0.1311555663812003,0.0306791449034164,0.5826088121799273,3.2023040393061226,-1.4189815013876368,Normal
0.403,-0.757,-0.09243095703125,0.0954242800657524,0.1328497374268199,0.0034807144266344,0.6418590122546619,3.033502420145858,-1.437286183046928,Normal
0.364,-0.64,-0.092722314453125,0.0943481772188001,0.1322829876377131,0.0092364511976332,0.5612711778439721,2.7516765874452136,-1.4266575248678437,Normal
0.388,-0.71,-0.092354638671875,0.0942207944529378,0.1319345316977207,0.0266079864690524,0.6008826991820269,2.940852519861584,-1.428564212854195,Normal
0.444,-0.623,-0.0928527587890625,0.0943031926322471,0.1323423962261043,0.0037786744689335,0.4761894436370677,3.3549339641805718,-1.4252930979331702,Normal
0.466,-0.535,-0.0919375,0.0944892169221101,0.1318351168955942,-0.0056205568290098,0.4419051558199101,3.534718297925468,-1.4339645617467764,Normal
0.439,-0.642,-0.0934488525390625,0.0945864430095713,0.1329626444507476,0.0188091686360912,0.4262500124932207,3.301679218350801,-1.4228387062876775,Normal
0.403,-0.874,-0.0927209228515625,0.0967105973705495,0.1339771653490285,0.0069258793136228,0.6514795579093766,3.007975269144789,-1.444950732031792,Normal
0.349,-0.559,-0.0921458007812499,0.0944028967441555,0.1319186792666342,0.0499062023733729,0.4720087911949613,2.6455692396267896,-1.4316298534298195,Normal
0.349,-0.569,-0.0920775878906249,0.0944425638770402,0.1318994401227219,-0.0007825893411571,0.4608976941722416,2.6459551282043603,-1.4324814881054395,Normal
0.452,-0.706,-0.093190234375,0.0964460198977328,0.1341119958892799,-0.0180249528618011,0.7649901938285737,3.370317450000235,-1.4391207060346012,Normal
0.469,-0.757,-0.0935765869140625,0.0945756414750658,0.1330447714344862,-0.0111771188899046,0.6357376874852627,3.525129134675874,-1.421774140540838,Normal
0.496,-0.669,-0.0931205566406249,0.0956579752094927,0.1334978010703734,0.0026732990812524,0.5261917145094084,3.715417003299802,-1.4336018370849533,Normal
0.437,-0.679,-0.0927472900390625,0.0962733329259031,0.1336801711518192,0.000968207185836,0.5829926644635597,3.2689964131157745,-1.4413377587152898,Normal
0.542,-0.586,-0.0923405029296875,0.0946863538388812,0.132257533623591,0.0549242872498175,0.4808246334199091,4.098065230390191,-1.43228084564688,Normal
0.425,-0.576,-0.0933251708984375,0.0944269900910114,0.1327622924400799,0.0329276802854387,0.5128317101988769,3.201210164338015,-1.422577544321462,Normal
0.474,-0.586,-0.0932580322265625,0.0946379648433548,0.1328652938269093,-0.0063606257735656,0.5255028796495802,3.567523063001728,-1.4247061690528091,Normal
0.469,-0.664,-0.0928576904296875,0.0960092503546091,0.1335668438731205,-0.0029639004960651,0.4965896446937492,3.511350469922896,-1.438403682614294,Normal
0.386,-0.598,-0.0927937744140624,0.0944370911970839,0.1323964917596891,0.0010801105348737,0.4268193497858914,2.915485107419785,-1.426782050796988,Normal
0.381,-0.576,-0.0930965820312499,0.095515860819012,0.1333792731933193,0.0315911737816824,0.431171962158968,2.8565157904840293,-1.432697852951761,Normal
0.444,-0.762,-0.0932596679687499,0.0960553341400942,0.1338796759293699,-0.0139555686009076,0.5511482431522845,3.316410776451522,-1.435558144751611,Normal
0.374,-0.542,-0.092455859375,0.094313567190096,0.1320716386080273,0.0312350832880392,0.3783451043463004,2.831796470020235,-1.4284831648402745,Normal
0.476,-0.657,-0.0927928466796875,0.0954429131688877,0.1331151369035526,0.0186436313929007,0.5594649814183312,3.575851785697981,-1.4345409335598254,Normal
0.479,-0.608,-0.09253916015625,0.0947911410088405,0.1324712693644597,0.023276244211659,0.4416878086768232,3.615878388559544,-1.43151579440299,Normal
0.371,-0.659,-0.092705615234375,0.0948713194685772,0.1326449343672092,0.0088360848941053,0.4464815422186752,2.7969405825399827,-1.4308187700589776,Normal
0.452,-0.625,-0.0926021972656249,0.094950541942772,0.1326293792720668,0.0170268608678733,0.7073699270042653,3.407993029001501,-1.432248728306368,Normal
0.442,-0.696,-0.0931486083984375,0.0960806744046865,0.1338205285533751,0.0147868232586336,0.64573557195046,3.302931207775836,-1.4366347587391315,Normal
0.42,-0.706,-0.093413037109375,0.0946525896544502,0.1329845461019931,0.0214397813879367,0.7316099314271858,3.1582617101830697,-1.42361869624563,Normal
0.369,-0.618,-0.0921716064453125,0.0929010803342516,0.1308663633395187,0.0166192963747661,0.4918670168863261,2.81967031545508,-1.4198121133666552,Normal
0.388,-0.662,-0.0930343505859375,0.0945614270702173,0.1326538185326342,0.01188643224899,0.5259135840379847,2.924906378812969,-1.4258584887965609,Normal
0.635,-0.581,-0.092440087890625,0.0939326174910428,0.1317888123645293,-0.0047597815988449,0.5996698260739373,4.8183149131322525,-1.4256673200101422,Normal
0.425,-0.703,-0.092700537109375,0.0950752641945896,0.1327873290485932,0.0135261615565959,0.5364582020845723,3.2006065868263085,-1.4324332219555629,Normal
0.498,-0.615,-0.0923341796874999,0.0961681637769105,0.1333180058125238,0.0056279995373663,0.5412939520030688,3.735429411540285,-1.4438640843914066,Normal
0.437,-0.725,-0.0928911376953125,0.096248129710605,0.1337618771194087,0.0133711986687781,0.5822966880206639,3.2669996071443554,-1.4399853466985653,Normal
0.425,-0.625,-0.093149658203125,0.0962534322793107,0.1339453465387096,0.0092682486158052,0.4845568575590104,3.172935909924851,-1.4379585402946329,Normal
0.444,-0.693,-0.0924081298828125,0.0960678040830593,0.1332968871798435,0.0245385646488423,0.5170224921783939,3.330910491562772,-1.442480086426207,Normal
0.432,-0.559,-0.0933892578125,0.0949034005078364,0.1331464945602094,0.0134733189844581,0.4938223236997259,3.244546553230117,-1.4257153090083554,Normal
0.459,-0.693,-0.09286923828125,0.0959968722838118,0.133565975914059,-0.0312933547510577,0.6303939331866371,3.4365039214428115,-1.4382154778696572,Normal
0.51,-0.742,-0.09282705078125,0.0965775473776398,0.1339546800183857,0.0061107754339469,0.517107139707079,3.807257797413279,-1.4430565109092437,Normal
0.493,-0.571,-0.092379150390625,0.0956323849971417,0.1329632927052848,0.015343530300517,0.5223961141106419,3.707790247739593,-1.4393214501654308,Normal
0.557,-0.713,-0.092729443359375,0.0957196858055941,0.1332695922876468,-0.0085187037060951,0.6021853538228883,4.179498041817225,-1.4371874504967923,Normal
0.415,-0.598,-0.0928688720703125,0.0941905581492183,0.1322734744606734,0.0420883057367944,0.4359570285665204,3.13743932176957,-1.424303660762964,Normal
0.5,-0.625,-0.0928353271484375,0.0967878196636611,0.134112084816937,-0.0211952680228567,0.6455586272031395,3.728224795569317,-1.4446233878456718,Normal
0.439,-0.62,-0.0927088378906249,0.0943680092249709,0.1322876879117889,0.0090254493298722,0.6366453205992428,3.318525003571992,-1.4269156093603277,Normal
0.398,-0.627,-0.0932293701171875,0.0959472783529536,0.1337810559191829,0.0207200037323502,0.5972166017755507,2.975010155701204,-1.434966853803933,Normal
0.444,-0.808,-0.0924139404296875,0.0949743698427367,0.1325150825179027,-0.0051898044238093,0.5618855314977216,3.350562000668987,-1.4339295770936835,Normal
0.449,-0.671,-0.0924971923828125,0.0956702354800775,0.1330725407386242,0.0246536306075914,0.5370650525405511,3.374099551325977,-1.4386657293108427,Normal
0.391,-0.623,-0.0920349609375,0.097412255073779,0.1340124986883219,0.0144725119374198,0.5243504410140494,2.9176383085682462,-1.4561042599814704,Normal
0.461,-0.576,-0.0929835205078125,0.0954984032074352,0.1332878743408006,0.0271191110824623,0.5282151851968564,3.458679210543038,-1.4334569568120596,Normal
0.417,-0.703,-0.0927882568359374,0.0974479153559497,0.1345567723140903,-0.028210840615775,0.6125753886910799,3.099063635582861,-1.4501487246603344,Normal
0.432,-0.605,-0.0925168701171875,0.095787249447596,0.1331703585982244,0.0312898236816402,0.5314691830472165,3.243965132686516,-1.4394170320455364,Normal
0.43,-0.618,-0.09234716796875,0.0940021925239442,0.1317732745985979,0.0207839819652533,0.4510236699649441,3.2631806510830623,-1.426933575734446,Normal
0.483,-0.735,-0.0925856933593749,0.0959724971712937,0.1333514377763931,0.0141934096057265,0.4645058520994767,3.622008191691985,-1.4403028474257282,Normal
0.398,-0.657,-0.0938046142578125,0.0948099087904387,0.1333716799207493,0.0318438644895895,0.4195654292355262,2.98414176260279,-1.4218029782009522,Normal
0.388,-0.728,-0.0926298583984375,0.0953053796518857,0.1329029130672379,-0.0181833261515184,0.6763004218271158,2.9194243455273536,-1.4347740066228991,Normal
